name,protein_name,A4_1,A4_2,A4_3,count_missing_A4,A6_1,A6_2,A6_3,count_missing_A6,B2_1,B2_2,B2_3,count_missing_B2,E10_1,E10_2,E10_3,count_missing_E10,E6_1,E6_2,E6_3,count_missing_E6,E9_1,E9_2,E9_3,count_missing_E9,F1_1,F1_2,F1_3,count_missing_F1,G12_1,G12_2,G12_3,count_missing_G12,ctrl_1,ctrl_2,ctrl_3,count_missing_ctrl,status in producer,status in control,Protein.IDs,Majority.protein.IDs,vlookup_PPIandRNA
NP_001231044.1_Bst2,Bst2,26.89569578,26.79262974,26.65736246,0,27.69555942,27.43299235,26.57186958,0,26.6578179,26.95718716,27.46592156,0,26.52019828,26.62109811,27.67692759,0,26.60965715,26.81512404,26.42595788,0,26.59301997,27.23497426,26.97064851,0,27.10084863,26.10593019,26.29096973,0,26.81613114,26.43294951,NA,1,29.18860197,28.83043629,28.59578761,0,in producer,DETECTED IN NONPROD,NP_001231044.1_Bst2,NP_001231044.1_Bst2,#N/A
NP_001231051.1_Calr,Calr,31.53866162,31.98998026,31.6258008,0,31.50252473,31.89000115,32.47939695,0,31.80094871,31.93420707,31.63171884,0,30.89616245,31.32236796,31.29369094,0,31.72508109,32.39140635,32.49819471,0,31.65007838,31.58338099,31.91727072,0,30.34405533,31.77867943,31.28515397,0,30.65441188,31.40736992,31.2599436,0,28.44953934,27.73921789,27.78708803,0,in producer,DETECTED IN NONPROD,NP_001231051.1_Calr,NP_001231051.1_Calr,#N/A
NP_001231065.1_Creld2,Creld2,26.61565005,26.53639767,25.9737361,0,26.28587839,26.68344994,26.42246718,0,26.03640542,26.61410508,25.93550044,0,25.21680294,25.59134458,26.31832051,0,26.66602755,27.44212761,27.52469183,0,26.36044241,27.20118887,26.78678671,0,NA,25.80675076,25.37708584,1,25.24585312,25.4975771,25.57493803,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001231065.1_Creld2,NP_001231065.1_Creld2,#N/A
NP_001231196.1_Aimp1,Aimp1,27.05318368,27.06063445,27.2125478,0,26.67384369,27.08252765,26.86929947,0,27.32714162,27.26595205,27.24361535,0,26.95581146,27.04605118,27.16674516,0,27.48093676,27.1904943,27.11252066,0,27.8169562,27.34252664,27.50842632,0,27.05614471,27.69003064,27.27939633,0,27.24060373,27.44681136,27.36126122,0,25.63994544,26.98175194,27.06236332,0,in producer,DETECTED IN NONPROD,NP_001231196.1_Aimp1,NP_001231196.1_Aimp1,#N/A
NP_001231202.1_Glg1,Glg1,30.1959845,29.67100135,29.67178018,0,30.28265293,29.23674331,29.51119125,0,30.58435508,30.04496245,30.64381363,0,30.18661829,29.75543503,30.15636698,0,29.55510014,29.12454681,29.38886673,0,29.82686386,29.55955015,29.6840565,0,31.04761719,30.61353558,30.59745165,0,30.36525518,29.88257739,30.11513961,0,27.25469364,NA,27.10265749,1,in producer,DETECTED IN NONPROD,NP_001231202.1_Glg1,NP_001231202.1_Glg1,#N/A
NP_001231204.2_Por,Por,28.90343893,29.21471213,28.93982033,0,28.28699255,28.91508559,29.20135878,0,29.30496872,29.11840448,29.05663656,0,28.63842777,28.91075772,28.31088342,0,28.88647757,29.36811794,29.53071387,0,28.59992573,28.98103672,29.15368236,0,28.56044825,29.38998684,28.93665954,0,28.68189545,29.33525534,29.11198041,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001231204.2_Por,NP_001231204.2_Por,#N/A
NP_001231227.1_Znf330,Znf330,25.97209853,25.30697029,25.26536868,0,25.13029489,25.42367816,25.13427041,0,NA,25.208926,25.09846388,1,25.36073611,24.45823625,25.25310999,0,25.46797533,25.42383274,25.28844233,0,25.60991581,25.88751186,25.76833113,0,25.01383514,25.39886665,NA,1,25.32683334,25.29097526,25.2674488,0,NA,NA,NA,3,in producer,NOT IN NONPROD,NP_001231227.1_Znf330,NP_001231227.1_Znf330,#N/A
NP_001231331.1_Eef1a1,Eef1a1,34.2260525,33.67067181,34.03450338,0,34.25018509,33.77044589,34.17443327,0,34.37812524,34.24937252,34.23498221,0,34.09425991,34.03458453,34.43540904,0,34.14285321,34.04252004,34.2533888,0,34.33490727,34.02553219,34.61346698,0,33.91113473,34.32207312,34.23098139,0,33.54283678,34.12339955,34.1123259,0,33.92995041,34.89857563,33.30840894,0,in producer,DETECTED IN NONPROD,NP_001231331.1_Eef1a1;XP_027271619.1_LOC100770366,NP_001231331.1_Eef1a1,#N/A
NP_001231340.1_Apex1,Apex1,26.20696562,26.07240361,25.80919918,0,26.47519328,26.27809997,25.3794476,0,25.36664076,25.45128339,25.7220671,0,25.47395243,25.27020341,25.33465423,0,25.59061001,25.2648422,25.25079361,0,25.6612404,25.77424344,25.17632463,0,26.0294013,25.4583225,25.72000692,0,25.89142581,25.75221316,25.6008078,0,NA,27.54521463,26.96629489,1,in producer,DETECTED IN NONPROD,NP_001231340.1_Apex1,NP_001231340.1_Apex1,#N/A
NP_001231448.1_Rps14,Rps14,27.785562,28.00138958,27.72811591,0,28.2361278,27.99791543,27.42875585,0,27.49283553,27.94941938,27.71051206,0,28.08003334,27.37876295,29.04980515,0,27.76511911,27.6447407,27.39066455,0,27.93269156,27.72176341,27.66246447,0,27.98892323,27.77488613,27.60259587,0,28.17566485,27.97240264,27.74662208,0,29.9740556,29.49886492,28.91406493,0,in producer,DETECTED IN NONPROD,NP_001231448.1_Rps14,NP_001231448.1_Rps14,#N/A
